slide_name,coords_x,coords_y
normal_050.tif,448.0,16928.0
normal_050.tif,448.0,54560.0
normal_050.tif,448.0,55008.0
normal_050.tif,448.0,59040.0
normal_050.tif,448.0,60832.0
normal_050.tif,448.0,64864.0
normal_050.tif,448.0,76960.0
normal_050.tif,448.0,86368.0
normal_050.tif,448.0,86816.0
normal_050.tif,448.0,87264.0
normal_050.tif,448.0,87712.0
normal_050.tif,448.0,88160.0
normal_050.tif,448.0,88608.0
normal_050.tif,448.0,89056.0
normal_050.tif,448.0,89504.0
normal_050.tif,448.0,89952.0
normal_050.tif,448.0,90400.0
normal_050.tif,448.0,90848.0
normal_050.tif,448.0,91296.0
normal_050.tif,448.0,91744.0
normal_050.tif,448.0,92192.0
normal_050.tif,448.0,92640.0
normal_050.tif,448.0,93088.0
normal_050.tif,448.0,93536.0
normal_050.tif,448.0,93984.0
normal_050.tif,448.0,98912.0
normal_050.tif,448.0,99360.0
normal_050.tif,448.0,100256.0
normal_050.tif,896.0,70688.0
normal_050.tif,896.0,72928.0
normal_050.tif,896.0,73376.0
normal_050.tif,1344.0,73376.0
normal_050.tif,1344.0,73824.0
normal_050.tif,1344.0,74272.0
normal_050.tif,1344.0,74720.0
normal_050.tif,1792.0,16928.0
normal_050.tif,1792.0,24544.0
normal_050.tif,1792.0,75168.0
normal_050.tif,2240.0,21408.0
normal_050.tif,2688.0,19616.0
normal_050.tif,2688.0,20512.0
normal_050.tif,3136.0,18720.0
normal_050.tif,3136.0,19168.0
normal_050.tif,3584.0,19168.0
normal_050.tif,4032.0,19168.0
normal_050.tif,4480.0,19616.0
normal_050.tif,4480.0,20064.0
normal_050.tif,4928.0,95328.0
normal_050.tif,5376.0,20512.0
normal_050.tif,5376.0,95328.0
normal_050.tif,5824.0,20512.0
normal_050.tif,5824.0,94432.0
normal_050.tif,6272.0,19616.0
normal_050.tif,6272.0,20512.0
normal_050.tif,6272.0,94432.0
normal_050.tif,6720.0,99360.0
normal_050.tif,6720.0,99808.0
normal_050.tif,6720.0,100256.0
normal_050.tif,6720.0,100704.0
normal_050.tif,6720.0,101152.0
normal_050.tif,6720.0,102048.0
normal_050.tif,7168.0,99360.0
normal_050.tif,7168.0,99808.0
normal_050.tif,7168.0,101152.0
normal_050.tif,7616.0,20512.0
normal_050.tif,7616.0,20960.0
normal_050.tif,7616.0,99808.0
normal_050.tif,7616.0,101152.0
normal_050.tif,8064.0,15136.0
normal_050.tif,8064.0,20960.0
normal_050.tif,8064.0,99808.0
normal_050.tif,8064.0,100256.0
normal_050.tif,8064.0,100704.0
normal_050.tif,8512.0,20512.0
normal_050.tif,8512.0,20960.0
normal_050.tif,8960.0,20960.0
normal_050.tif,9408.0,18720.0
normal_050.tif,9408.0,20960.0
normal_050.tif,10304.0,19168.0
normal_050.tif,13888.0,15136.0
normal_050.tif,13888.0,17376.0
normal_050.tif,14336.0,15136.0
normal_050.tif,14336.0,17376.0
normal_050.tif,15232.0,15136.0
normal_050.tif,15232.0,17376.0
normal_050.tif,15232.0,20064.0
normal_050.tif,15680.0,14688.0
normal_050.tif,15680.0,106080.0
normal_050.tif,15680.0,106976.0
normal_050.tif,16128.0,107872.0
normal_050.tif,16576.0,15136.0
normal_050.tif,16576.0,104288.0
normal_050.tif,16576.0,106080.0
normal_050.tif,16576.0,106976.0
normal_050.tif,16576.0,107872.0
normal_050.tif,17024.0,14688.0
normal_050.tif,17024.0,99808.0
normal_050.tif,17024.0,103840.0
normal_050.tif,17024.0,104288.0
normal_050.tif,17024.0,104736.0
normal_050.tif,17024.0,105184.0
normal_050.tif,17024.0,105632.0
normal_050.tif,17024.0,106080.0
normal_050.tif,17024.0,106528.0
normal_050.tif,17024.0,106976.0
normal_050.tif,17024.0,107424.0
normal_050.tif,17024.0,107872.0
normal_050.tif,17024.0,110112.0
normal_050.tif,17472.0,14688.0
normal_050.tif,17472.0,15136.0
normal_050.tif,17472.0,97568.0
normal_050.tif,17472.0,98016.0
normal_050.tif,17472.0,98464.0
normal_050.tif,17472.0,98912.0
normal_050.tif,17472.0,99808.0
normal_050.tif,17472.0,100256.0
normal_050.tif,17472.0,102944.0
normal_050.tif,17472.0,103392.0
normal_050.tif,17472.0,103840.0
normal_050.tif,17472.0,104288.0
normal_050.tif,17472.0,104736.0
normal_050.tif,17472.0,105184.0
normal_050.tif,17472.0,105632.0
normal_050.tif,17472.0,106080.0
normal_050.tif,17472.0,106528.0
normal_050.tif,17472.0,106976.0
normal_050.tif,17472.0,107424.0
normal_050.tif,17472.0,107872.0
normal_050.tif,17472.0,108320.0
normal_050.tif,17472.0,110560.0
normal_050.tif,17920.0,15136.0
normal_050.tif,17920.0,97120.0
normal_050.tif,17920.0,97568.0
normal_050.tif,17920.0,98016.0
normal_050.tif,17920.0,98464.0
normal_050.tif,17920.0,98912.0
normal_050.tif,17920.0,99360.0
normal_050.tif,17920.0,99808.0
normal_050.tif,17920.0,100256.0
normal_050.tif,17920.0,100704.0
normal_050.tif,17920.0,101152.0
normal_050.tif,17920.0,101600.0
normal_050.tif,17920.0,102496.0
normal_050.tif,17920.0,102944.0
normal_050.tif,17920.0,103392.0
normal_050.tif,17920.0,103840.0
normal_050.tif,17920.0,104288.0
normal_050.tif,17920.0,104736.0
normal_050.tif,17920.0,105184.0
normal_050.tif,17920.0,105632.0
normal_050.tif,17920.0,106080.0
normal_050.tif,17920.0,106528.0
normal_050.tif,17920.0,107424.0
normal_050.tif,17920.0,107872.0
normal_050.tif,17920.0,108320.0
normal_050.tif,17920.0,108768.0
normal_050.tif,17920.0,109216.0
normal_050.tif,17920.0,110112.0
normal_050.tif,17920.0,110560.0
normal_050.tif,18368.0,97120.0
normal_050.tif,18368.0,97568.0
normal_050.tif,18368.0,98016.0
normal_050.tif,18368.0,98464.0
normal_050.tif,18368.0,98912.0
normal_050.tif,18368.0,99360.0
normal_050.tif,18368.0,99808.0
normal_050.tif,18368.0,100256.0
normal_050.tif,18368.0,100704.0
normal_050.tif,18368.0,101152.0
normal_050.tif,18368.0,101600.0
normal_050.tif,18368.0,102048.0
normal_050.tif,18368.0,102496.0
normal_050.tif,18368.0,102944.0
normal_050.tif,18368.0,103392.0
normal_050.tif,18368.0,103840.0
